timestamp,simple-path,time
"2022-04-25 17:22:18.74","/master/welcome",7779
"2022-04-25 17:22:19.515","/master/welcome",694
"2022-04-25 17:22:22.906","/master/sign-in",3223
"2022-04-25 17:22:24.219","/master/welcome",581
"2022-04-25 17:22:26.586","/inventor/patronage/list-mine",2156
"2022-04-25 17:22:29.272","/inventor/patronage/show",1699
"2022-04-25 17:22:30.442","/inventor/patronage-report/list-by-patronage",1108
"2022-04-25 17:22:34.13","/inventor/patronage-report/show",1623
"2022-04-25 17:22:34.783","/master/welcome",450
"2022-04-25 17:22:35.468","/master/welcome",573
